Provider ID,Hospital Name,City,State,County Name,Survey Response Rate Percent,Patient Survey Star Rating
60076,STERLING REGIONAL MEDCENTER,STERLING,CO,LOGAN,30.0,4.0
60126,BANNER FORT COLLINS MEDICAL CENTER,FORT COLLINS,CO,LARIMER,30.0,4.0
70017,MIDSTATE MEDICAL CENTER,MERIDEN,CT,NEW HAVEN,30.0,4.0
10125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,WINSTON,29.0,4.0
10129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,BALDWIN,29.0,4.0
11305,ST VINCENTS BLOUNT,ONEONTA,AL,BLOUNT,29.0,4.0
30122,BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,MARICOPA,29.0,4.0
40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,OUACHITA,29.0,4.0
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,CA,LOS ANGELES,29.0,4.0
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,MONTEREY,29.0,4.0
50512,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,CA,ALAMEDA,29.0,4.0
50609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,ANAHEIM,CA,ORANGE,29.0,4.0
50710,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,CA,FRESNO,29.0,4.0
51320,BANNER LASSEN MEDICAL CENTER,SUSANVILLE,CA,LASSEN,29.0,4.0
60096,VAIL HEALTH HOSPITAL,VAIL,CO,EAGLE,29.0,4.0
61320,GUNNISON VALLEY HOSPITAL,GUNNISON,CO,GUNNISON,29.0,4.0
10055,FLOWERS HOSPITAL,DOTHAN,AL,HOUSTON,28.0,4.0
10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,JEFFERSON,28.0,4.0
21313,SOUTH PENINSULA HOSPITAL,HOMER,AK,KENAI PENINSULA,28.0,4.0
41322,FULTON COUNTY HOSPITAL,SALEM,AR,FULTON,28.0,4.0
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,SANTA CLARA,CA,SANTA CLARA,28.0,4.0
50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,PLACER,28.0,4.0
50352,BARTON MEMORIAL HOSPITAL,SOUTH LAKE TAHOE,CA,EL DORADO,28.0,4.0
50767,KAISER FOUNDATION HOSPITAL - VACAVILLE,VACAVILLE,CA,SOLANO,28.0,4.0
50772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,ROSEVILLE,CA,PLACER,28.0,4.0
51321,HEALDSBURG DISTRICT HOSPITAL,HEALDSBURG,CA,SONOMA,28.0,4.0
